Model,Fold,F1,Recall,Precision,ROC_AUC
Random Forest,1,0.8172043010752689,0.8837209302325582,0.76,0.993938644235527
Random Forest,2,0.7333333333333333,0.7857142857142857,0.6875,0.9458903242147922
Random Forest,3,0.8,0.8837209302325582,0.7307692307692307,0.9408385718267118
Random Forest,4,0.7659574468085106,0.8372093023255814,0.7058823529411765,0.976248722633388
Random Forest,5,0.7083333333333334,0.7906976744186046,0.6415094339622641,0.9638621373052985
SVM,1,0.7674418604651163,0.7674418604651163,0.7674418604651163,0.9801768926274121
SVM,2,0.7469879518072289,0.7380952380952381,0.7560975609756098,0.9277482269503545
SVM,3,0.8045977011494253,0.813953488372093,0.7954545454545454,0.9058155018115381
SVM,4,0.7872340425531915,0.8604651162790697,0.7254901960784313,0.9703341281392253
SVM,5,0.7311827956989247,0.7906976744186046,0.68,0.9327718081317933
