FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack,TARGET_COUNT,COORDINATION_LEVEL
1556423393081,1556423393095,192.168.1.37,52589,13.55.50.68,123,17,9,76,1,76,1,0,0,0,14,0,0,0,0,76,76,76,76,5,5,0,0,0,0,43428,43428,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,2,Coordinated
1556423457347,1556423457348,192.168.1.37,49842,13.55.50.68,123,17,9,76,1,76,1,0,0,0,1,0,0,0,0,76,76,76,76,76,76,0,0,0,0,304000,304000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,2,Coordinated
1556423585593,1556423585607,192.168.1.37,36542,13.55.50.68,123,17,9,76,1,76,1,0,0,0,14,0,0,0,0,76,76,76,76,5,5,0,0,0,0,43428,43428,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,2,Coordinated
1556423841845,1556423841858,192.168.1.37,56197,13.55.50.68,123,17,9,76,1,76,1,0,0,0,13,0,0,0,0,76,76,76,76,6,6,0,0,0,0,46769,46769,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,2,Coordinated
1556424037529,1556424037732,192.168.1.37,34277,192.168.1.193,445,6,10,66353,52,1376,20,26,26,26,203,202,202,64,64,1500,52,52,1500,6,328,0,0,0,0,2614896,54226,24,3,0,2,43,29200,8192,0,0,0,0,0,0,0,57,3,11,0,100,10,23,1,ransomware,2,Coordinated
1556424037613,1556424037617,192.168.1.37,33017,192.168.1.193,135,6,370,392,6,276,4,27,27,27,4,4,4,64,64,124,52,52,124,69,98,0,0,0,0,627200,441600,10,0,0,0,0,29200,8192,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,ransomware,2,Coordinated
1556424047743,1556424047797,192.168.1.37,34277,192.168.1.193,445,6,10,4466,5,157,2,24,24,24,54,53,53,64,64,1500,52,52,1500,2,84,0,0,0,0,661629,23259,4,0,0,0,3,237,260,0,0,0,0,0,0,0,53,13,22,53,53,53,0,1,ransomware,2,Coordinated
1556424047748,1556424047783,192.168.1.37,34675,192.168.1.193,445,6,10,456,6,542,5,31,27,30,35,35,35,64,64,207,40,40,207,15,13,0,0,0,0,101333,120444,8,3,0,0,0,29200,8192,0,0,0,0,0,0,1,26,6,9,0,25,8,9,1,ransomware,2,Coordinated
1556424047759,1556424048568,192.168.1.37,38013,192.168.1.193,445,6,10,848,6,60,1,26,26,18,809,808,0,64,64,184,52,52,184,0,1,552,3,0,0,8385,593,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,200,403,161,150,0,0,0,0,1,ransomware,2,Coordinated
1556424047761,1556424048601,192.168.1.37,45561,192.168.1.193,445,6,10,848,6,60,1,26,26,18,840,840,0,64,64,184,52,52,184,0,1,552,3,0,0,8066,570,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,203,432,167,160,0,0,0,0,1,ransomware,2,Coordinated
